codigoinsitucion;nombreinstitucion;nitinstitucion;codigopadreinstitucion;tipoinstitucion;codigodepartamento;nombredeparamento;codigomunicipio;nombremunicipio;codigoordeninstitucional;nombreordeninstitucional;codigoorigeninstitucional;nombreorigeninstitucional;codigocaracterinstitucional;nombrecaracterinstitucional;codigotipoacreditacion;nombretipoacreditacion;codigotipomarcocreacion;numeromarcocreacion;nombretipomarcocreacion
2,102;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD;860.512.780-4;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;4;UNIVERSIDAD;4;N/A;5;52;LEY
4,806;CORPORACION CENTRO DE ESTUDIOS ARTISTICOS Y TECNICOS-CEART-;860.036.444-2;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;19;1,727;NO INFORMA
2,745;UNIPANAMERICANA - FUNDACION UNIVERSITARIA PANAMERICANA;860.506.140-6;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;23,635;RESOLUCION
1,121;UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA;800.144.829-9;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;4;UNIVERSIDAD;4;N/A;5;48;LEY
1,813;UNIVERSIDAD DE LOS ANDES;860.007.386-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;4;UNIVERSIDAD;3;REGISTRO ALTA CALIDAD;7;28;RESOLUCION
2,812;UNIVERSIDAD EAN;860.026.058;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;4;UNIVERSIDAD;3;REGISTRO ALTA CALIDAD;7;2,898;RESOLUCION
9,107;ESCUELA DE INGENIEROS MILITARES;* *;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;19;15;NO INFORMA
2,901;ESCUELA DE INTELIGENCIA Y CONTRAINTELIGENCIA BRIGADIER GENERAL RICARDO CHARRY SOLANO;800131292;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;19;20;NO INFORMA
1,703;UNIVERSIDAD INCCA DE COLOMBIA;860.011.285-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;4;UNIVERSIDAD;4;N/A;7;1,891;RESOLUCION
9,904;FUNDACION TECNOLOGICA COLOMBO GERMANA;900407222-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;10,263;RESOLUCION
4,810;CORPORACION UNIVERSITARIA CENDA;NO INFORMA;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;11,109;RESOLUCION
2,704;COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-;860.045.740;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;3;REGISTRO ALTA CALIDAD;7;5,157;RESOLUCION
3,823;UNION AMERICANA DE EDUCACION SUPERIOR- UNION AMERICANA;800.042.129-3;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;2,214;RESOLUCION
1,101;UNIVERSIDAD NACIONAL DE COLOMBIA;899.999.063-3;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;4;UNIVERSIDAD;3;REGISTRO ALTA CALIDAD;5;66;LEY
2,902;ESCUELA DE LOGISTICA;800131180;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;19;15;NO INFORMA
4,714;FUNDACION INTERAMERICANA TECNICA-FIT-;860.055.057;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;7;954;RESOLUCION
2,905;CENTRO DE EDUCACION MILITAR - CEMIL;830028487;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;19;10;NO INFORMA
1,806;UNIVERSIDAD LIBRE;860.013.798-5;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;4;UNIVERSIDAD;4;N/A;7;192;RESOLUCION
9,109;INSTITUTO TECNOLOGICO DE ELECTRONICA Y COMUNICACIONES-ITEC-;NO INFORMA;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;2;INSTITUCION TECNOLOGICA;4;N/A;19;;NO INFORMA
2,824;CORPORACION UNIVERSITARIA DE COLOMBIA IDEAS;860.524.958;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;22,185;RESOLUCION
1,826;UNIVERSIDAD ANTONIO NARIÑO;860.056.070;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;4;UNIVERSIDAD;4;N/A;7;4,571;RESOLUCION
3,826;CORPORACION INTERNACIONAL PARA EL DESARROLLO EDUCATIVO -CIDE-;860.053.914-4;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;1,567;RESOLUCION
1,715;FUNDACION UNIVERSIDAD DE AMERICA;860.006.806;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;4;UNIVERSIDAD;4;N/A;7;417;RESOLUCION
4,803;CORPORACION POLITECNICO COLOMBO ANDINO;860.508.517-8;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;7;2,026;RESOLUCION
1,701;PONTIFICIA UNIVERSIDAD JAVERIANA;860.013.720-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;4;UNIVERSIDAD;3;REGISTRO ALTA CALIDAD;7;73;RESOLUCION
1,707;FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;860.006.848-6;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;4;UNIVERSIDAD;3;REGISTRO ALTA CALIDAD;7;2,613;RESOLUCION
2,712;FUNDACION UNIVERSITARIA KONRAD LORENZ;860.504.759-5;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;18,537;RESOLUCION
1,117;UNIVERSIDAD MILITAR-NUEVA GRANADA;800.225.340;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;4;UNIVERSIDAD;4;N/A;4;84;DECRETO LEY
2,725;POLITECNICO GRANCOLOMBIANO;860.078.643-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;19,349;RESOLUCION
2,730;FUNDACION ESCUELA COLOMBIANA DE REHABILITACION;830.011.184-5;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;5,090;RESOLUCION
1,714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO;860.007.759;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;4;UNIVERSIDAD;3;REGISTRO ALTA CALIDAD;7;58;RESOLUCION
1,815;CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA;860.022.382-3;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;4;UNIVERSIDAD;4;N/A;7;3,681;RESOLUCION
5,802;UNIVERSIDAD ECCI;860.401.496-0;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;4;UNIVERSIDAD;4;N/A;7;2,683;RESOLUCION
9,914;ELITE- ESCUELA LATINOAMERICANA DE INGENIEROS TECNOLOGOS Y EMPRESARIOS;9005345244;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;19;4,787;NO INFORMA
1,301;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;899.999.230-7;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;3;MUNICIPAL;1;OFICIAL;4;UNIVERSIDAD;4;N/A;1;10;ACUERDO
9,913;CORPORACION UNIVERSITARIA DE ASTURIAS;900509172-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;1,110;RESOLUCION
2,701;INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA - UNICOC;NO INFORMA;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;1,384;RESOLUCION
1,718;UNIVERSIDAD DE SAN BUENAVENTURA;NO 890307400-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;4;UNIVERSIDAD;4;N/A;7;1,326;RESOLUCION
1,728;UNIVERSIDAD SERGIO ARBOLEDA;860.351.894;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;4;UNIVERSIDAD;3;REGISTRO ALTA CALIDAD;7;16,377;RESOLUCION
4,108;ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL;860.523.694-6;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;3;146;DECRETO
4,805;CORPORACION TECNICA DE COLOMBIA -CORPOTEC-;860.516.740-8;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;19;4,023;NO INFORMA
3,713;FUNDACION UNIVERSITARIA PARA EL DESARROLLO HUMANO - UNINPAHU;860.504.360;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;16,971;RESOLUCION
3,822;POLITECNICO ICAFT;800.029.090-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;1,643;RESOLUCION
2,834;UNIVERSITARIA AGUSTINIANA- UNIAGUSTINIANA;NO INFORMA;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;6,651;RESOLUCION
1,105;UNIVERSIDAD PEDAGOGICA NACIONAL;899.999.124-4;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;4;UNIVERSIDAD;4;N/A;3;197;DECRETO
2,710;FUNDACION UNIVERSITARIA MONSERRATE -UNIMONSERRATE;860.513.077-9;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;1,381;RESOLUCION
2,707;FUNDACION UNIVERSITARIA JUAN N. CORPAS;860.038.374-4;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;2,105;RESOLUCION
9,128;LCI - FUNDACION TECNOLOGICA;900262351;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;8,973;RESOLUCION
9,131;FUNDACION UNIVERSITARIA CERVANTINA SAN AGUSTIN - UNICERVANTINA SAN AGUSTIN;9002941201;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;19;3,600;NO INFORMA
3,824;ESCUELA SUPERIOR DE CIENCIAS EMPRESARIALES - ECIEM;800.113.262-0;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;9,121;RESOLUCION
1,709;UNIVERSIDAD CENTRAL;860.024.746-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;4;UNIVERSIDAD;4;N/A;7;1,876;RESOLUCION
2,822;ESCUELA SUPERIOR DE OFTALMOLOGIA INSTITUTO BARRAQUER DE AMERICA;860.054.986-9;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;1,590;RESOLUCION
3,819;CORPORACION TECNOLOGICA INDUSTRIAL COLOMBIANA - TEINCO;800.003.963-5;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;1,048;RESOLUCION
4,812;CORPORACION CENTRO DE NUESTRA SEÑORA DE LAS MERCEDES;860.519.585-6;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;7;1,311;RESOLUCION
3,829;CORPORACION JHON F. KENNEDY;800.210.541;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;5,460;RESOLUCION
2,740;INSTITUCION UNIVERSITARIA COLOMBO AMERICANA - UNICA;830.088.283;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;849;RESOLUCION
2,702;FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD;NO INFORMA;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;10,917;RESOLUCION
